lot_number,publish_on_website,listing_status,listing_title,brand,model,asset_tag,serial_number_private,cpu,ram_gb,storage_type,storage_gb,gpu,screen_size_in,keyboard_layout,ports_connectivity,warranty_status,currency_code,starting_bid,buy_now_price,bid_increment,auction_start,auction_end,photo_1,photo_2,photo_3,photo_4,photo_5,short_description,public_notes
KL-HP-LT-134,Yes,Live,HP Elitebook 840 G3 - Intel Core I5 6th Gneration - 8gb Ram / 256 SSD,HP,840 G3,KL-HP-LT-134,5cg7141k4t,Intel Core I5 6th gen,8GB,SATA SSD,256,,14 INCH,US,"USB-C, USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"25,000.00","30,000.00","2,000.00",,,KL-HP-LT-134_1.jpeg,KL-HP-LT-134_2.jpeg,,,,,
KL-HP-LT-047,Yes,Live,HP Elitebook 840 G3 - Intel Core I5 6th Gneration - 8gb Ram / 256 SSD,HP,840 G3,KL-HP-LT-134,5CG6351KZ2,Intel Core I5 6th gen,8GB,SATA SSD,256,,14 INCH,US,"USB-C, USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"25,000.00","30,000.00","2,000.00",,,KL-HP-LT-047_1.jpeg,KL-HP-LT-047_2.jpeg,,,,,
KL-HP-LT-173,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12gb Ram / 256 SSD,HP,840 G2,KL-HP-LT-173,5CG52323B9,Intel Core I5 5th gen,12GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-173_1.jpeg,KL-HP-LT-173_2.jpeg,,,,,
KL-HP-LT-125,Yes,Live,HP Elitebook 840 G1 - Intel Core I7 4th Generation - 16gb Ram / 128 SSD+1TB Hard Drive,HP,840 g1,KL-HP-LT-125,CNU4189C7X,Intel Core I7 4th gen,14GB,SATA SSD,128+1Tb,,15 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-125_1.jpeg,KL-HP-LT-125_2.jpeg,,,,,
KL-HP-LT-171,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12gb Ram / 256 SSD,HP,840 G2,KL-HP-LT-173,5CG54606HK,Intel Core I5 5th gen,12GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-171_1.jpeg,KL-HP-LT-171_2.jpeg,,,,,
KL-HP-LT-126,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12gb Ram / 500 GB,HP,840 G2,KL-HP-LT-173,5CG52323B9,Intel Core I5 5th gen,12GB,SATA SSD,500,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-126_1.jpeg,KL-HP-LT-126_2.jpeg,,,,,
KL-HP-LT-085,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 8Gb Ram / 256 GB,HP,840 G2,KL-HP-LT-085,5CG61810S9,Intel Core I5 5th gen,8GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-085_1.jpeg,KL-HP-LT-085_2.jpeg,,,,,
KL-HP-LT-039,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 16 Gb Ram / 128 GB,HP,840 G2,KL-HP-LT-039,5CG5211WYK,Intel Core I5 5th gen,16GB,SATA SSD,128,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-039_1.jpeg,KL-HP-LT-039_2.jpeg,,,,,
KL-HP-LT-091,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12 Gb Ram / 128 GB,HP,840 G2,KL-HP-LT-039,5CG5262V03,Intel Core I5 5th gen,8 GB,SATA SSD,128,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-091_1.jpeg,KL-HP-LT-091_2.jpeg,,,,,
KL-HP-LT-105,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 8 Gb Ram / 256 GB,HP,840 G2,KL-HP-LT-105,5CG5262V2X,Intel Core I5 5th gen,8 GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-105_1.jpeg,KL-HP-LT-105_2.jpeg,,,,,
KL-HP-LT-026,Yes,Live,HP Notebook 250 G5 - Intel I5 6th Generation - 8 Gb Ram / 256 SSD,HP,250 G5,KL-HP-LT-026,CND6396HQ8,Intel Core I5 6th gen,8 GB,SATA SSD,256,,15.6 Inch,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-026_1.jpeg,KL-HP-LT-026_2.jpeg,,,,,
KL-HP-LT-196,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 8 Gb Ram / 1TB Hard Drive,HP,840 G2,KL-HP-LT-196,5CG5424FHQ,Intel Core I5 5th gen,8 GB,HDD,1 TB,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-196_1.jpeg,KL-HP-LT-196_2.jpeg,,,,,
KL-HP-LT-031,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12 Gb Ram / 256 Hard Drive,HP,840 G2,KL-HP-LT-031,5CG5424FHQ,Intel Core I5 5th gen,12 Gb,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-031_1.jpeg,KL-HP-LT-031_2.jpeg,,,,,
KL-HP-LT-002,Yes,Live,Hp Probook 450 G4 - Intel Core I5 7th Generation 8 GB Ram / 240 SSD,HP,450 G4,KL-HP-LT-002,5CD70632VC,Intel Core I5 7th gen,8 GB,SATA SSD,256,,15.6 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"30,000.00","35,000.00","2,000.00",,,KL-HP-LT-002_1.jpeg,KL-HP-LT-002_2.jpeg,,,,,
KL-DL-LT-096,Yes,Live,Dell Inspiron 557 - Intel Core I5 8th Generation - 8 Gb Ram / 256 SSD,Dell,5570,KL-DL-LT-096,HQ5FKP2,Intel Core I5 8th gen,8 Gb,SATA SSD,256,,15.6 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"35,000.00","40,000.00","2,000.00",,,KL-DL-LT-096_1.jpeg,KL-DL-LT-096_2.jpeg,,,,,
KL-HP-LT-164,Yes,Live,Hp Folio 9470m - Intel Core I5 3rd Generation - 8Gb Ram / 256 SSD,HP,Folio 9470m,KL-HP-LT-164,CNU433YG1,Intel Core I5 3rd gen,8 Gb,SATA SSD,256,,15 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"15,000.00","18,000.00","2,000.00",,,KL-HP-LT-164_1.jpeg,KL-HP-LT-164_2.jpeg,,,,,
KL-DL-LT-075,Yes,Live,Dell Latitude 7480 - Intel Core I7 7th Generation - 8Gb Ram / 128 SSD,Dell,7480,KL-DL-LT-075,,Intel Core I7 7th gen,8 Gb,SATA SSD,128,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"30,000.00","35,000.00","2,000.00",,,KL-DL-LT-075_1.jpeg,KL-DL-LT-075_2.jpeg,,,,,
KL-DL-LT-259,Yes,Live,Dell Latitude 7400 - Intel Core I7 8th Generation - 8Gb Ram / 512 SSD,Dell,7400,KL-DL-LT-259,,Intel Core I7 8th gen,8 Gb,NVMe SSD,512,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"35,000.00","40,000.00","2,000.00",,,KL-DL-LT-259_1.jpeg,KL-DL-LT-259_2.jpeg,,,,,
KL-HP-LT-112,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12 Gb Ram / 128 GB,HP,840 G2,KL-HP-LT-112,5CG5262V03,Intel Core I5 5th gen,12 GB,SATA SSD,128,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-091_1.jpeg,KL-HP-LT-091_2.jpeg,,,,,
KL-HP-LT-122,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12 Gb Ram / 256 GB,HP,840 G2,KL-HP-LT-122,5CG5262V03,Intel Core I5 5th gen,12 GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-091_1.jpeg,KL-HP-LT-091_2.jpeg,,,,,
KL-HP-LT-020,Yes,Live,Hp Probook 450 G5 - Intel Core I5 8th Generation 8 GB Ram / 246 SSD,HP,450 G5,KL-HP-LT-020,,Intel Core I5 8th gen,8 Gb,NVMe SSD,256,,15.6 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"35,000.00","40,000.00","2,000.00",,,KL-HP-LT-020_1.jpeg,KL-HP-LT-020_2.jpeg,,,,,
KL-DL-LT-021,Yes,Live,Dell Latitude 3500 - Intel Core I5 8th Generation - 8Gb Ram / 256 SSD,Dell,3500,KL-DL-LT-021,,Intel Core I5 8th gen,8 Gb,SATA SSD,256,,15.6 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"35,000.00","40,000.00","2,000.00",,,KL-DL-LT-021_1.jpeg,KL-DL-LT-021_2.jpeg,,,,,
KL-HP-LT-097,Yes,Live,Hp 15U GE ZBook - Intel Core I7 6th Generation 8 GB Ram / 256 SSD,HP,15u G3,KL-HP-LT-097,,Intel Core I7 6th gen,8 Gb,NVMe SSD,256,,15.6 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"35,000.00","40,000.00","2,000.00",,,KL-HP-LT-097_1.jpeg,KL-HP-LT-097_2.jpeg,,,,,
KL-HP-LT-121,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 8 Gb Ram / 500 GB,HP,840 G2,KL-HP-LT-121,5CG5262V03,Intel Core I5 5th gen,8 Gb,HDD,500,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-091_1.jpeg,KL-HP-LT-091_2.jpeg,,,,,
KL-HP-LT-031,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12 Gb Ram / 256 GB,HP,840 G2,KL-HP-LT-031,5CG5262V03,Intel Core I5 5th gen,12 GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-091_1.jpeg,KL-HP-LT-091_2.jpeg,,,,,
KL-HP-LT-140,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12 Gb Ram / 256 GB,HP,840 G2,KL-HP-LT-140,5CG5262V03,Intel Core I5 5th gen,12 GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-091_1.jpeg,KL-HP-LT-091_2.jpeg,,,,,
KL-HP-LT-150,Yes,Live,HP Elitebook 840 G2 - Intel Core I5 5th Gneration - 12 Gb Ram / 256 GB,HP,840 G2,KL-HP-LT-150,5CG5262V03,Intel Core I5 5th gen,12 GB,SATA SSD,256,,14 INCH,US,"USB-A, HDMI, Ethernet, Wi-Fi, Bluetooth",None,PKR,"20,000.00","25,000.00","2,000.00",,,KL-HP-LT-091_1.jpeg,KL-HP-LT-091_2.jpeg,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
